_id,case_no,status_dttm,status,code,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude
3020,V593865,2021-12-28 12:43:23,Closed,105.1,Failure to Obtain Permit,25, ,Wheatland,AVE,Dorchester,MA,02124,17,25 WHEATLAND AV,,DORCHESTER,MA,02124,149068.0,42.293789545541145,-71.07326062486818
3021,V593858,2021-12-28 12:27:01,Open,116,Unsafe Structures,25, ,Wheatland,AVE,Dorchester,MA,02124,17,25 WHEATLAND AV,,DORCHESTER,MA,02124,149068.0,42.293789545541145,-71.07326062486818
3022,V593745,2021-12-28 08:12:59,Closed,116.1,Unsafe and Dangerous,211,,Endicott,ST,Boston,MA,02113,03,211 ENDICOTT STREET,,BOSTON,MA,02113,53867.0,42.366619518606086,-71.0579804276348
3023,V593720,2021-12-27 15:32:11,Open,1030.1,Emergency Escape & Rescue,135,137,Emerson,ST,South Boston,MA,02127,06,526 EAST FIFTH STREET,,SOUTH BOSTON,MA,02127,164993.0,42.33537047509365,-71.0395045060501
3024,V593445,2021-12-23 10:41:41,Closed,105.1,Failure to Obtain Permit,40,,Richview,ST,Dorchester,MA,02124,16,40 RICHVIEW STREET,,DORCHESTER,MA,02124,115839.0,42.27794953114648,-71.06189063475355
3025,V593437,2021-12-23 10:20:56,Closed,116,Unsafe Structures,140,,Putnam,ST,East Boston,MA,02128,01,"216 LOWELL STREET, UNIT 2L",,PEABODY,MA,01960,113624.0,42.37806948480296,-71.03165034370778
3026,V593410,2021-12-23 09:16:55,Closed,105.1,Failure to Obtain Permit,89,,Munroe,ST,Roxbury,MA,02119,12,89 MUNROE ST,,ROXBURY,MA,02119,99384.0,42.3189095639805,-71.08836060276668
3027,V593340,2021-12-22 11:40:16,Closed,102.8,Maintenance,1165,1177,Commonwealth,AV,Allston,MA,02134,21,"Joseph Pelick, Manager","1089 Commonwealth Ave, Suite 368",Boston,MA,02215,37065.0,42.35083681278599,-71.12852723080158
3028,V588480,2021-12-22 11:11:14,Closed,Art. 248 CMR,Permits to perform gas fitting,8,,Wardman,RD,Roxbury,MA,02119,11,42 HOWELL ST #1A,,BOSTON,MA,02125,142735.0,42.3153395728228,-71.09459062410802
3029,V592417,2021-12-22 11:02:19,Closed,Ch.143-3L,Elec work w/o per,8,10,Park,PZ,Boston,MA,02116,05,136 Blackstone Street,,BOSTON,MA,02109,158173.0,42.351883283472965,-71.0669981889451
3030,V593325,2021-12-22 10:39:04,Closed,102.8,Maintenance,35,,Old Morton,ST,Mattapan,MA,02126,17,"257 COMMON ST, Apt #1",,QUINCY,MA,02169,105180.0,42.2736095463712,-71.07200066658487
3031,V593323,2021-12-22 10:24:12,Closed,102.8,Maintenance,52,,Wrentham,ST,Dorchester,MA,02124,16,52 WRENTHAM ST,,DORCHESTER,MA,02124,153006.0,42.28830952907225,-71.06098060896255
3032,V593322,2021-12-22 10:04:37,Open,105.1,Failure to Obtain Permit,59,61,Saint Marks,RD,Dorchester,MA,02122,16,61 ST MARKS RD,,DORCHESTER,MA,02124,121386.0,42.29195752601091,-71.05902059689967
3033,V593315,2021-12-22 09:14:49,Open,105.1,Failure to Obtain Permit,87,,Armandine,ST,Dorchester,MA,02124,17,87 ARMADNINE STREET,,DORCHESTER,MA,02124,4988.0,42.284329548590456,-71.0747106486951
3034,V593300,2021-12-21 15:44:06,Closed,116,Unsafe Structures,100,100A,Lanark,RD,Brighton,MA,02135,21,C/O CERTIFIED PROPERTY MANAGEMENT,1195 BEACON STREET,BROOKLINE,MA,02446,355721.0,42.34056206039895,-71.14829806037419
3035,V593285,2021-12-21 13:49:38,Open,105.1,Failure to Obtain Permit,6,,Larchmont,ST,Dorchester,MA,02124,17,6 LARCHMONT ST,,DORCHESTER,MA,02124,84085.0,42.29720953746602,-71.06745060432377
3036,V593267,2021-12-21 13:29:44,Closed,116,Unsafe Structures,10,,Hartford,ST,Dorchester,MA,02125,13,10 HARTFORD ST #2,,DORCHESTER,MA,02125,70197.0,42.31773954395369,-71.07321057109172
3037,V593242,2021-12-21 11:20:35,Closed,116,Unsafe Structures,177,,Cowper,ST,East Boston,MA,02128,01,9 ROSE LANE,,FRAMINGHAM,MA,01701,43936.0,42.38196946119075,-71.0133802938636
3038,V593148,2021-12-20 15:09:27,Closed,116,Unsafe Structures,108,,Third,ST,South Boston,MA,02127,06,108 WEST THIRD,,SOUTH BOSTON,MA,02127,135210.0,42.34109951276669,-71.05203047076688
3039,V592929,2021-12-20 13:12:30,Closed,116,Unsafe Structures,2,,Bateman,ST,Roslindale,MA,02131,18,20 Colbert Street,Unit 2,West Roxbury,MA,02132,8622.0,42.272689626525,-71.12924079779337
3040,V593124,2021-12-20 12:14:48,Closed,105.1,Failure to Obtain Permit,106,,Barnes,AV,East Boston,MA,02128,01,106 BARNES AV,,EAST BOSTON,MA,02128,8236.0,42.38581944592481,-71.00136025834516
3041,V593116,2021-12-20 11:34:01,Closed,105.1,Failure to Obtain Permit,20,,Norwood,ST,Dorchester,MA,02122,16,"572 Freeport Street, Unit A",,Dorchester,MA,02122,104160.0,42.29115191087953,-71.04580837667527
3042,V593085,2021-12-20 10:21:47,Closed,116,Unsafe Structures,185,,Corey,RD,Brighton,MA,02135,21,2499 WASHINGTON ST,,ROXBURY,MA,02119,42594.0,42.34304962764478,-71.13918066292453
3043,V592928,2021-12-17 14:48:17,Closed,115.1,Unsafe Structure,220,230,Columbia,RD,Dorchester,MA,02121,14,"and George Stamatos, President",619 Centre St,Jamaica Plain,MA,02130,35185.0,42.30758954902041,-71.07629059992033
3044,V592927,2021-12-17 13:08:46,Open,105.1,Failure to Obtain Permit,131,,Devon,ST,Dorchester,MA,02121,14,900 HIGH ST,,DEDHAM,MA,02026,47548.0,42.30773954880922,-71.07670060098918
3045,V592912,2021-12-17 11:54:18,Closed,107.4,Failed to comply w permit term,11,,Primrose,ST,Roslindale,MA,02131,20,11 PRIMROSE ST,,ROSLINDALE,MA,02131,112762.0,42.29057962411687,-71.12964075875998
3046,V592908,2021-12-17 11:40:59,Closed,115.3,Unlawful Continuance,233,,Columbia,RD,Dorchester,MA,02121,14,80 NEPONSET AVE,,DORCHESTER,MA,02122,35188.0,42.30749954770409,-71.07541059956039
3047,V592895,2021-12-17 10:30:11,Closed,115.1,Unsafe Structure,233,,Columbia,RD,Dorchester,MA,02121,14,80 NEPONSET AVE,,DORCHESTER,MA,02122,35188.0,42.30749954770409,-71.07541059956039
3048,V592572,2021-12-15 12:55:47,Closed,116,Unsafe Structures,142,,Marginal,ST,East Boston,MA,02128,01,42 REGENT CIR,,BROOKLINE,MA,02445,89794.0,42.36542949037152,-71.03584038079403
3049,V592393,2021-12-14 10:28:47,Closed,105.1,Failure to Obtain Permit,144,,Elmer,RD,Dorchester,MA,02124,16,144 ELMER RD,,DORCHESTER,MA,02124,53302.0,42.28741952178712,-71.05544059852186
3050,V592169,2021-12-13 10:36:34,Closed,107.4,Failed to comply w permit term,1098,,Adams,ST,Dorchester,MA,02124,17,1098 ADAMS ST,,DORCHESTER,MA,02124,418.0,42.27384953281663,-71.06289064555037
3051,V591937,2021-12-09 15:55:44,Closed,105.1,Failure to Obtain Permit,1,,Gloucester,ST,Boston,MA,02116,05,1 GLOUCESTER STREET,,BOSTON,MA,02115,64880.0,42.35170955513214,-71.08516052215076
3052,V591926,2021-12-09 15:31:39,Closed,105.1,Failure to Obtain Permit,59,59A,Hancock,ST,Boston,MA,02114,05,12 Lothrop St #4,,Beverly,MA,01915,165948.0,42.359254041023135,-71.06452058409275
3053,V591730,2021-12-08 14:09:42,Closed,3307.1,Protection of Adj. Property,51,,Allston,ST,Allston,MA,02134,21,51 Allston St,,Allston,Ma,02134,405049.0,42.35144962232428,-71.13596063696413
3054,V591724,2021-12-08 13:50:43,Closed,116,Unsafe Structures,69,,Putnam,ST,East Boston,MA,02128,01,1 CORTIS STREET,,EAST BOSTON,MA,02128,113672.0,42.38028948755309,-71.03358034285729
3055,V591682,2021-12-08 11:25:49,Closed,116,Unsafe Structures,12,,Springfield,ST,Roxbury,MA,02118,08,333 BRUSH HILL ROAD APT M-1,,MILTON,MA,02186,129776.0,42.33664954428909,-71.07568053505005
3056,V591677,2021-12-08 11:16:13,Open,116,Unsafe Structures,699,,Eighth,ST,South Boston,MA,02127,07,699 EAST EIGHTH STREET,C/O JOHN C KATAROUSKY,SOUTH BOSTON,MA,02127,52406.0,42.33136948882847,-71.03342045162653
3057,V591653,2021-12-08 10:32:54,Closed,102.8,Maintenance,18,,Mallon,RD,Dorchester,MA,02121,14,460 WASHINGTON STREET,,CANTON,MA,02021,88805.0,42.302399546442544,-71.0744006076581
3058,V591637,2021-12-08 10:15:54,Closed,105.1,Failure to Obtain Permit,85,89,Ballou,AV,Dorchester,MA,02124,14,30 PETIPAS LABE,,RANDOLPH,MA,02368,8063.0,42.28545955935328,-71.08285066470661
3059,V591599,2021-12-08 09:08:22,Closed,116,Unsafe Structures,25,,Arlington,ST,Brighton,MA,02135,22,25 Arlington St,,Brighton,MA,02135,4777.0,42.352259644286896,-71.15305067369012
3060,V591514,2021-12-07 13:54:40,Closed,105.1,Failure to Obtain Permit,605,607,Washington,ST,Dorchester,MA,02124,17,587 WASHINGTON STREET,,Dorchester,MA,02124,146126.0,42.29042954502885,-71.07184062987432
3061,V591476,2021-12-07 11:35:31,Closed,105.1,Failure to Obtain Permit,29,,Mayfield,ST,Dorchester,MA,02125,13,29 MAYFIELD STREET,,DORCHESTER,MA,02125,93227.0,42.31670952271792,-71.05819053932088
3062,V591461,2021-12-07 11:22:03,Closed,115,Stop Work Order,339,,Seaver,ST,Dorchester,MA,02121,14,"339 SEAVER STREET, Unit #3",,DORCHESTER,MA,02121,124175.0,42.30474955977275,-71.08367062339995
3063,V591466,2021-12-07 11:20:31,Closed,102.8,Maintenance,47,,Cedar,ST,Boston,MA,02114,05,14 South Russell St,,Boston,MA,02114,26938.0,42.35940653527869,-71.06998547142139
3064,V591456,2021-12-07 11:03:18,Closed,105.1,Failure to Obtain Permit,2,4,Brookford,ST,Dorchester,MA,02125,13,18 KATY CIR,,RANDOLPH,MA,02368,21982.0,42.31850954874534,-71.07738057926156
3065,V591438,2021-12-07 10:22:25,Closed,116,Unsafe Structures,6,,Humphreys,PL,Dorchester,MA,02125,07,550 Dudley St,,Dorchester,MA,02119,76058.0,42.31910953597154,-71.06798055603214
3066,V591424,2021-12-07 10:06:40,Closed,116,Unsafe Structures,1965,1967,Columbus,AV,Roxbury,MA,02119,11,3 Farrington Lane,,Canton,MA,02021,163666.0,42.31533532964256,-71.09830094292938
3067,V591402,2021-12-07 09:03:55,Closed,1006.1,Number of Exits or Exit Access,1,5,Peterborough,ST,Boston,MA,02215,05,7 Thomas Drive,,Cumberland Foreside,ME,04110,109705.0,42.344439570027,-71.09548056159531
3068,V591370,2021-12-06 15:00:07,Closed,1001.3.2,Testing & Certification,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3069,V591354,2021-12-06 13:19:06,Closed,110.5,Inspections,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3070,V591350,2021-12-06 12:39:22,Open,105.1,Failure to Obtain Permit,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3071,V591323,2021-12-06 11:57:20,Open,105.1,Failure to Obtain Permit,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3072,V591348,2021-12-06 11:41:33,Closed,1001.3.2,Testing & Certification,90,94,Revere,ST,Boston,MA,02114,05,"33 Broad St, Suite 600",,Boston,MA,02109,115496.0,42.359419534382326,-71.06981047085654
3073,V591341,2021-12-06 11:08:50,Closed,1001.3.2,Testing & Certification,90,94,Revere,ST,Boston,MA,02114,05,"33 Broad St, Suite 600",,Boston,MA,02109,115496.0,42.359419534382326,-71.06981047085654
3074,V591321,2021-12-06 10:22:05,Closed,105.1,Failure to Obtain Permit,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3075,V591313,2021-12-06 10:08:13,Closed,116,Unsafe Structures,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3076,V591299,2021-12-06 09:05:26,Closed,105.1,Failure to Obtain Permit,600,610,Blue Hill,AV,Dorchester,MA,02121,14,619 Centre Street,,Jamaica Plain,MA,02130,162187.0,42.3037245546013,-71.08471152676195
3077,V578307,2021-12-01 11:04:14,Closed,110.5,Inspections,55,,Virginia,ST,Dorchester,MA,02125,13,55 VIRGINIA ST,,DORCHESTER,MA,02125,140929.0,42.31522953789861,-71.0689705673727
3078,V577502,2021-12-01 10:59:11,Closed,3307.1,Protection of Adj. Property,30,,Ridgewood,ST,Dorchester,MA,02122,15,11 DUNLAP STREET,,DORCHESTER,MA,02124,116007.0,42.302089535663086,-71.06638059028938
3079,V567801,2021-12-01 10:42:42,Closed,116.1,Unsafe and Dangerous,70,,Pleasant,ST,Dorchester,MA,02125,13,"54 West Tremlett Street, Unit 1",,Dorchester,MA,02124,111248.0,42.31367952476531,-71.05902054849615
3080,V577514,2021-12-01 10:40:34,Closed,102.8,Maintenance,23,29,School,ST,Boston,MA,02108,03,"c/o Synergy Investments, LLC","10 Post Office Square, #14",Boston,MA,02109,123777.0,42.35769952037006,-71.05896044995362
3081,V590678,2021-11-30 11:50:58,Closed,105.1,Failure to Obtain Permit,1153,1155,Dorchester,AV,Dorchester,MA,02125,15,1153-1161 DORCHESTER AV,,DORCHESTER,MA,02125,48227.0,42.311247523076034,-71.05810955115513
3082,V590631,2021-11-30 10:16:24,Closed,102.8,Maintenance,94,,Floyd,ST,Dorchester,MA,02124,14,94 FLOYD ST,,DORCHESTER,MA,02124,59076.0,42.28845956317156,-71.08582066501612
3083,V590428,2021-11-29 09:42:17,Open,116,Unsafe Structures,71,,Selden,ST,Mattapan,MA,02126,18,36 Mayfield Street,Unit 2,Dorchester,MA,02125,125046.0,42.27838956458378,-71.08528068653538
3084,V572197,2021-11-24 14:36:57,Closed,116,Unsafe Structures,31,,Cunningham,ST,Dorchester,MA,02125,13,78 CAPEN STREET,,DORCHESTER,MA,02124,45074.0,42.31449954631997,-71.07475058151716
3085,V585117,2021-11-24 14:28:36,Closed,116,Unsafe Structures,18,20,Hartwell,ST,Dorchester,MA,02121,12,18 HARTWELL STREET,,DORCHESTER,MA,02121,70292.0,42.30916855903195,-71.084078614447
3086,V585108,2021-11-24 14:27:29,Closed,105.1,Failure to Obtain Permit,18,20,Hartwell,ST,Dorchester,MA,02121,12,18 HARTWELL STREET,,DORCHESTER,MA,02121,70292.0,42.30916855903195,-71.084078614447
3087,V579927,2021-11-24 14:26:10,Closed,105.1,Failure to Obtain Permit,6,,Ruthven,ST,Dorchester,MA,02121,12,6 RUTHVEN ST,,DORCHESTER,MA,02121,120018.0,42.31440957046114,-71.09316062355981
3088,V580802,2021-11-24 12:32:23,Closed,105.1,Failure to Obtain Permit,21,,Wabon,ST,Dorchester,MA,02121,12,115 TAHANTO TRAIL,,HARVARD,MA,01451,141061.0,42.31465956116691,-71.0857906058021
3089,V578662,2021-11-24 11:55:28,Closed,116,Unsafe Structures,10,,Mills,ST,Roxbury,MA,02119,12,2875 WASHINGTON ST APT 16B R,,ROXBURY,MA,02119,95600.0,42.32124955732019,-71.08332058626897
3090,V575235,2021-11-24 11:53:25,Closed,102.8,Maintenance,112,116,State,ST,Boston,MA,02109,03,1270 SOLDIER'S FIELD ROAD,,BRIGHTON,MA,02135,130370.0,42.35927859150157,-71.05485342767139
3091,V590075,2021-11-24 11:01:06,Closed,1001.3.2,Testing & Certification,240,242,North,ST,Boston,MA,02113,03,242 NORTH ST #1,,BOSTON,MA,02113,103563.0,42.36360951289743,-71.05266042334145
3092,V590067,2021-11-24 10:18:01,Open,107.4,Failed to comply w permit term,75,,Tower,ST,Jamaica Plain,MA,02130,11,15 LUNAR AVE,,BRAINTREE,MA,02184,136387.0,42.29815959675365,-71.11077069972485
3093,V575137,2021-11-23 14:56:36,Closed,9.12,Inspection of exterior walls.,112,116,State,ST,Boston,MA,02109,03,1270 SOLDIER'S FIELD ROAD,,BRIGHTON,MA,02135,130370.0,42.35927859150157,-71.05485342767139
3094,V582500,2021-11-23 14:53:32,Closed,1001.3.2,Testing & Certification,13,15,Congress,ST,Boston,MA,02109,03,"303 WYMAN STREET, SUITE 300",,WALTHAM,MA,02451,42088.0,42.35835951864238,-71.05684044288743
3095,V582495,2021-11-23 14:50:20,Closed,1001.3.2,Testing & Certification,19,21,Congress,ST,Boston,MA,02109,03,"303 WYMAN STREET, SUITE 300",,WALTHAM,MA,02451,42090.0,42.358205871664914,-71.05679706370783
3096,V555840,2021-11-23 14:46:45,Closed,105.1,Failure to Obtain Permit,282,,Walnut,AVE,Dorchester,MA,02119,12,7 Moraine Street,,Jamaica Plain,MA,02130,141925.0,42.31717956758612,-71.09129061335499
3097,V589957,2021-11-23 12:42:54,Closed,1001.3.2,Testing & Certification,225,227,North,ST,Boston,MA,02113,03,14 Arnold Road,,Stoneham,MA,02180,103557.0,42.36337394893663,-71.0526038601081
3098,V589949,2021-11-23 11:48:36,Closed,1001.3.2,Testing & Certification,244,246,North,ST,Boston,MA,02113,03,9 SPRUCE CIRCLE,,ANDOVER,MA,01810,103574.0,42.36362251256825,-71.05259342272394
3099,V566044,2021-11-23 09:57:10,Closed,105.1,Failure to Obtain Permit,4,6,Greendale,RD,Mattapan,MA,02126,14,4 GREENDALE RD,,MATTAPAN,MA,02126,165781.0,42.28509958843063,-71.09380414841227
3100,V589882,2021-11-23 09:18:29,Closed,105.1,Failure to Obtain Permit,106,,Marlborough,ST,Boston,MA,02116,05,4 BUNKER HILL INDUSTRIAL PARK,,BOSTON,MA,02129,90310.0,42.35314954498345,-71.07673049977974
3101,V589768,2021-11-22 14:47:33,Open,105.1,Failure to Obtain Permit,44,,Lawrence,AV,Dorchester,MA,02121,14,44 LAWRENCE AVE,,Roxbury,MA,02121,166986.0,42.3124507786626,-71.07720999460881
3102,V589526,2021-11-19 15:08:54,Open,105.1,Failure to Obtain Permit,4,,Leroy,ST,Dorchester,MA,02122,15,4 LEROY ST,,DORCHESTER,MA,02122,85202.0,42.3008495353396,-71.06642059310984
3103,V551974,2021-11-19 14:51:29,Closed,105.1,Failure to Obtain Permit,51,,Walnut,ST,Hyde Park,MA,02136,18,51 Walnut St,,Hyde Park,MA,02136,142087.0,42.25267644620009,-71.12141975064944
3104,V589484,2021-11-19 09:27:05,Closed,116,Unsafe Structures,97,,Southern,AVE,Dorchester,MA,02124,17,97 SOUTHERN AVE,,DORCHESTER,MA,02124,129178.0,42.29003955096108,-71.07643063992465
3105,V589426,2021-11-18 15:15:18,Closed,110.5,Inspections,238,,Webster,ST,East Boston,MA,02128,01,175 MILTON ST,,DORCHESTER,MA,02124,146848.0,42.364864030029736,-71.03204993602873
3106,V589404,2021-11-18 13:04:31,Closed,116,Unsafe Structures,64,,Everett,ST,East Boston,MA,02128,01,64 EVERETT ST,,EAST BOSTON,MA,02128,55168.0,42.36793949050252,-71.03541037372953
3107,V589398,2021-11-18 12:31:29,Closed,107.4,Failed to comply w permit term,238,,Webster,ST,East Boston,MA,02128,01,175 MILTON ST,,DORCHESTER,MA,02124,146848.0,42.364864030029736,-71.03204993602873
3108,V589379,2021-11-18 12:16:51,Closed,116,Unsafe Structures,89,,Munroe,ST,Roxbury,MA,02119,12,89 MUNROE ST,,ROXBURY,MA,02119,99384.0,42.3189095639805,-71.08836060276668
3109,V589372,2021-11-18 11:33:17,Closed,105.1,Failure to Obtain Permit,339,,West,ST,Hyde Park,MA,02136,18,339 WEST ST,,HYDE PARK,MA,02136,147958.0,42.26664962775815,-71.12967081285052
3110,V589365,2021-11-18 11:16:55,Closed,105.1,Failure to Obtain Permit,64,,Partridge,ST,West Roxbury,MA,02132,20,64 PARTRIDGE ST,,WEST ROXBURY,MA,02132,108406.0,42.27287965274751,-71.14761083907224
